**Query #1**

There are no results to be displayed.

---
**Query #2**

| employee_name | salary  | row_num |
| ------------- | ------- | ------- |
| Diana Prince  | 95000.0 | 1       |
| Charlie Brown | 90000.0 | 2       |
| George Miller | 85000.0 | 3       |
| Hannah Lee    | 82000.0 | 4       |
| Alice Johnson | 70000.0 | 5       |
| Bob Smith     | 65000.0 | 6       |
| Ethan Hunt    | 60000.0 | 7       |
| Fiona Green   | 58000.0 | 8       |

---
**Query #3**

| employee_name | salary  | rank_num |
| ------------- | ------- | -------- |
| Diana Prince  | 95000.0 | 1        |
| Charlie Brown | 90000.0 | 2        |
| George Miller | 85000.0 | 3        |
| Hannah Lee    | 82000.0 | 4        |
| Alice Johnson | 70000.0 | 5        |
| Bob Smith     | 65000.0 | 6        |
| Ethan Hunt    | 60000.0 | 7        |
| Fiona Green   | 58000.0 | 8        |

---
**Query #4**

| employee_name | salary  | dense_rank_num |
| ------------- | ------- | -------------- |
| Diana Prince  | 95000.0 | 1              |
| Charlie Brown | 90000.0 | 2              |
| George Miller | 85000.0 | 3              |
| Hannah Lee    | 82000.0 | 4              |
| Alice Johnson | 70000.0 | 5              |
| Bob Smith     | 65000.0 | 6              |
| Ethan Hunt    | 60000.0 | 7              |
| Fiona Green   | 58000.0 | 8              |

---
**Query #5**

    -- 4. Top 3 Highest Paid Employees

| employee_name | salary  |
| ------------- | ------- |
| Diana Prince  | 95000.0 |
| Charlie Brown | 90000.0 |
| George Miller | 85000.0 |

---
**Query #6**

| employee_name | department | salary  | dept_rank |
| Bob Smith     | Sales      | 65000.0 | 48.15                   |
| Charlie Brown | IT         | 90000.0 | 48.65                   |
| Diana Prince  | IT         | 95000.0 | 51.35                   |
| Ethan Hunt    | HR         | 60000.0 | 50.85                   |
| Fiona Green   | HR         | 58000.0 | 49.15                   |
| George Miller | Finance    | 85000.0 | 50.9                    |
| Hannah Lee    | Finance    | 82000.0 | 49.1                    |

---
**Query #24**

| employee_name | department | total_employees |
| ------------- | ---------- | --------------- |
| Alice Johnson | Sales      | 8               |
| Bob Smith     | Sales      | 8               |
| Charlie Brown | IT         | 8               |
| Diana Prince  | IT         | 8               |
| Ethan Hunt    | HR         | 8               |
| Fiona Green   | HR         | 8               |
| George Miller | Finance    | 8               |
| Hannah Lee    | Finance    | 8               |

---
**Query #25**

| employee_id | total_sales |
| ----------- | ----------- |
| 1           | 4350.0      |
| 2           | 3150.0      |
| 3           | 1400.0      |
| 4           | 2050.0      |

---
**Query #26**

| employee_id | total_sales |
| ----------- | ----------- |
| 1           | 4350.0      |
| 2           | 3150.0      |

---
**Query #27**

| customer_id | total_spending | spending_rank |
| ----------- | -------------- | ------------- |
| 1           | 3550.0         | 1             |
| 2           | 1350.0         | 4             |
| 3           | 700.0          | 5             |
| 4           | 1850.0         | 3             |
| 5           | 3500.0         | 2             |

---
**Query #28**

| num |
| --- |
| 1   |
| 2   |
| 3   |
| 4   |
| 5   |
| 6   |
| 7   |
| 8   |
| 9   |
| 10  |

---
**Query #29**

| employee_id | employee_name | manager_id |
| ----------- | ------------- | ---------- |
| 1           | Alice Johnson |            |
| 2           | Bob Smith     | 1          |
| 3           | Charlie Brown |            |
| 4           | Diana Prince  | 3          |
| 5           | Ethan Hunt    |            |
| 6           | Fiona Green   | 5          |
| 7           | George Miller |            |
| 8           | Hannah Lee    | 7          |

---
**Query #30**

| order_id | customer_id | employee_id | order_date | total_amount |
| -------- | ----------- | ----------- | ---------- | ------------ |
| 103      | 1           | 1           | 2024-01-15 | 1200.0       |
| 106      | 5           | 2           | 2024-01-25 | 1500.0       |
| 108      | 1           | 3           | 2024-02-05 | 1100.0       |
| 110      | 4           | 2           | 2024-02-15 | 950.0        |
| 111      | 5           | 1           | 2024-02-20 | 2000.0       |

---
**Query #31**

| customer_id | total_spending | spending_rank |
| ----------- | -------------- | ------------- |
| 1           | 3550.0         | 1             |
| 2           | 1350.0         | 4             |
| 3           | 700.0          | 5             |
| 4           | 1850.0         | 3             |
| 5           | 3500.0         | 2             |

---
**Query #32**

| employee_name | department | salary  |
| ------------- | ---------- | ------- |
| Bob Smith     | Sales      | 65000.0 |
| Charlie Brown | IT         | 90000.0 |
| Fiona Green   | HR         | 58000.0 |
| Hannah Lee    | Finance    | 82000.0 |

---
**Query #33**

| employee_name | department | salary  | salary_difference |
| ------------- | ---------- | ------- | ----------------- |
| Alice Johnson | Sales      | 70000.0 | 0.0               |
| Bob Smith     | Sales      | 65000.0 | 5000.0            |
| Charlie Brown | IT         | 90000.0 | 5000.0            |
| Diana Prince  | IT         | 95000.0 | 0.0               |
| Ethan Hunt    | HR         | 60000.0 | 0.0               |
| Fiona Green   | HR         | 58000.0 | 2000.0            |
| George Miller | Finance    | 85000.0 | 0.0               |
| Hannah Lee    | Finance    | 82000.0 | 3000.0            |

---
**Query #34**
          
| department | employee_name | total_sales |
| ---------- | ------------- | ----------- |
| Sales      | Alice Johnson | 4350.0      |
| IT         | Diana Prince  | 2050.0      |

---
**Query #35**

| month   | total_sales | running_total | previous_month_sales |
| ------- | ----------- | ------------- | -------------------- |
| 2024-01 | 5100.0      | 5100.0        |                      |
| 2024-02 | 5850.0      | 10950.0       | 5100.0               |
